par,generadas,atendidas,sin_atender_al_final,pct_atendidas,espera_media_min,espera_maxima_min,viaje_medio_min,sistema_medio_min,sistema_maximo_min
kleppesto->laksevag,30,30,0,100.0,16.768000000000015,24.980000000000018,6.0,22.768000000000015,30.980000000000018
kleppesto->bryggen,55,55,0,100.0,21.878181818181822,33.370000000000005,12.0,33.87818181818182,45.370000000000005
kleppesto->sandviken,7,7,0,100.0,4.75,4.75,10.0,14.75,14.75
laksevag->kleppesto,0,0,0,,,,,,
laksevag->bryggen,47,47,0,100.0,15.921702127659573,33.49000000000001,10.0,25.92170212765957,43.49000000000001
laksevag->sandviken,0,0,0,,,,,,
bryggen->kleppesto,11,11,0,100.0,15.620000000000005,15.620000000000005,12.0,27.620000000000005,27.620000000000005
bryggen->laksevag,16,16,0,100.0,7.92874999999999,15.139999999999986,10.0,17.92874999999999,25.139999999999986
bryggen->sandviken,0,0,0,,,,,,
sandviken->kleppesto,7,7,0,100.0,44.01999999999998,44.01999999999998,10.0,54.01999999999998,54.01999999999998
sandviken->laksevag,0,0,0,,,,,,
sandviken->bryggen,29,29,0,100.0,14.599655172413788,29.00999999999999,8.0,22.59965517241379,37.00999999999999
